iter	Passed	Remaining
0	139	139466
1	142	71347
2	147	49106
3	151	37637
4	156	31233
5	159	26492
6	164	23304
7	167	20744
8	170	18764
9	175	17374
10	178	16071
11	182	14999
12	185	14114
13	189	13313
14	192	12617
15	199	12242
16	202	11700
17	206	11273
18	209	10827
19	217	10653
20	219	10240
21	224	9980
22	226	9609
23	227	9266
24	229	8956
25	232	8701
26	234	8467
27	236	8206
28	237	7958
29	239	7738
30	241	7561
31	243	7359
32	244	7170
33	245	6989
34	247	6830
35	249	6677
36	250	6529
37	252	6384
38	253	6246
39	254	6102
40	256	5989
41	256	5856
42	257	5730
43	258	5610
44	258	5493
45	259	5381
46	260	5274
47	260	5171
48	261	5072
49	261	4977
50	262	4887
51	264	4813
52	264	4731
53	265	4650
54	266	4572
55	266	4496
56	267	4423
57	268	4352
58	268	4286
59	269	4220
60	270	4156
61	270	4094
62	271	4035
63	272	3979
64	273	3933
65	274	3879
66	274	3826
67	275	3775
68	276	3725
69	276	3676
70	277	3628
71	278	3588
72	278	3542
73	279	3498
74	280	3455
75	280	3414
76	281	3376
77	282	3339
78	283	3301
79	283	3265
80	284	3229
81	285	3194
82	285	3156
83	286	3123
84	287	3090
85	288	3065
86	289	3034
87	289	3003
88	291	2987
89	292	2961
90	293	2931
91	294	2903
92	294	2875
93	295	2848
94	296	2821
95	296	2795
96	297	2769
97	298	2744
98	298	2720
99	300	2703
100	301	2681
101	301	2658
102	302	2636
103	303	2613
104	304	2591
105	304	2570
106	305	2548
107	306	2527
108	306	2506
109	307	2488
110	308	2472
111	309	2455
112	310	2437
113	311	2419
114	311	2400
115	312	2382
116	313	2363
117	314	2350
118	315	2333
119	316	2317
120	317	2306
121	318	2289
122	318	2274
123	319	2258
124	320	2242
125	320	2226
126	321	2209
127	322	2194
128	322	2178
129	323	2164
130	324	2150
131	324	2136
132	325	2125
133	326	2111
134	327	2097
135	327	2083
136	328	2069
137	329	2056
138	329	2042
139	330	2030
140	331	2016
141	331	2002
142	332	1990
143	332	1978
144	333	1966
145	334	1957
146	335	1946
147	336	1935
148	336	1923
149	337	1911
150	338	1900
151	338	1889
152	339	1878
153	339	1867
154	340	1856
155	341	1845
156	342	1837
157	342	1827
158	344	1820
159	345	1813
160	345	1802
161	346	1792
162	347	1782
163	347	1773
164	348	1763
165	349	1753
166	349	1744
167	350	1737
168	351	1728
169	352	1719
170	352	1711
